WeightLogID,Timestamp,WeightKg
1,2025-02-01 17:22:00,63.0
2,2025-02-02 12:30:00,63.2
3,2025-02-02 22:28:00,63.2
4,2025-02-03 16:06:00,63.2
5,2025-02-04 18:31:00,63.2
6,2025-02-04 19:53:00,63.4
7,2025-02-05 06:49:00,63.1
8,2025-02-05 20:51:00,63.4
9,2025-02-06 20:22:00,63.4
10,2025-02-07 18:42:00,63.5
11,2025-02-07 20:28:00,63.4
12,2025-02-08 19:19:00,63.5
13,2025-02-09 06:46:00,63.4
14,2025-02-09 07:38:00,63.6
15,2025-02-10 08:40:00,63.8
16,2025-02-10 11:52:00,63.7
17,2025-02-11 17:48:00,63.9
18,2025-02-11 19:36:00,63.7
19,2025-02-12 06:00:00,64.0
20,2025-02-12 13:48:00,64.1
21,2025-02-13 08:17:00,64.0
22,2025-02-13 08:40:00,64.1
23,2025-02-14 15:53:00,64.2
24,2025-02-15 07:54:00,64.0
25,2025-02-15 14:59:00,64.1
26,2025-02-16 15:58:00,64.4
27,2025-02-17 17:42:00,64.2
28,2025-02-17 20:56:00,64.4
29,2025-02-18 19:48:00,64.6
30,2025-02-19 08:11:00,64.5
31,2025-02-20 19:33:00,64.4
32,2025-02-21 18:02:00,64.6
33,2025-02-22 16:25:00,64.6
34,2025-02-23 10:45:00,64.5
35,2025-02-23 19:12:00,64.5
36,2025-02-24 16:40:00,64.7
37,2025-02-24 20:15:00,64.7
38,2025-02-25 07:04:00,64.9
39,2025-02-25 17:41:00,65.0
40,2025-02-26 20:07:00,64.8
41,2025-02-27 20:03:00,64.9
42,2025-02-27 21:11:00,65.0
43,2025-02-28 10:08:00,65.3
44,2025-03-01 17:56:00,65.2
45,2025-03-02 20:26:00,65.2
46,2025-03-03 10:15:00,65.3
47,2025-03-03 13:00:00,65.3
48,2025-03-04 20:35:00,65.3
49,2025-03-05 10:43:00,65.2
50,2025-03-05 10:44:00,65.4
51,2025-03-06 07:45:00,65.5
52,2025-03-06 21:31:00,65.6
53,2025-03-07 19:59:00,65.7
54,2025-03-08 18:48:00,65.7
55,2025-03-09 09:26:00,65.7
56,2025-03-09 21:44:00,65.7
57,2025-03-10 12:32:00,65.7
58,2025-03-11 11:13:00,66.0
59,2025-03-11 13:25:00,65.8
60,2025-03-12 18:32:00,66.0
61,2025-03-13 18:04:00,65.9
62,2025-03-14 20:56:00,66.1
63,2025-03-15 20:28:00,65.9
64,2025-03-16 09:28:00,66.0
65,2025-03-16 20:05:00,66.3
66,2025-03-17 12:31:00,66.2
67,2025-03-17 22:46:00,66.4
68,2025-03-18 22:11:00,66.4
69,2025-03-19 15:40:00,66.3
70,2025-03-20 19:25:00,66.5
71,2025-03-21 08:41:00,66.7
72,2025-03-22 06:48:00,66.6
73,2025-03-22 19:39:00,66.4
74,2025-03-23 12:47:00,66.7
75,2025-03-23 17:36:00,66.7
76,2025-03-24 12:20:00,66.7
77,2025-03-25 20:29:00,66.7
78,2025-03-26 12:14:00,67.0
79,2025-03-26 13:23:00,66.9
80,2025-03-27 14:17:00,66.9
81,2025-03-28 13:16:00,67.1
82,2025-03-29 06:29:00,67.0
83,2025-03-30 13:19:00,67.2
84,2025-03-30 18:48:00,67.1
85,2025-03-31 12:05:00,67.1
86,2025-03-31 13:23:00,67.2
87,2025-04-01 12:40:00,67.4
88,2025-04-02 15:44:00,67.3
89,2025-04-03 13:55:00,67.2
90,2025-04-03 19:08:00,67.3
91,2025-04-04 10:57:00,67.5
92,2025-04-04 21:54:00,67.5
93,2025-04-05 08:35:00,67.6
94,2025-04-06 12:54:00,67.5
95,2025-04-07 17:43:00,67.9
96,2025-04-08 06:53:00,67.8
97,2025-04-09 12:18:00,67.7
98,2025-04-10 11:17:00,67.9
99,2025-04-10 15:33:00,67.9
100,2025-04-11 12:56:00,68.1
101,2025-04-11 22:54:00,67.9
102,2025-04-12 20:04:00,68.0
103,2025-04-13 11:15:00,68.1
104,2025-04-13 21:23:00,68.1
105,2025-04-14 14:47:00,68.2
106,2025-04-15 09:26:00,68.2
107,2025-04-15 14:28:00,68.3
108,2025-04-16 11:27:00,68.3
109,2025-04-17 06:16:00,68.5
110,2025-04-18 13:42:00,68.5
111,2025-04-19 13:07:00,68.3
112,2025-04-19 20:11:00,68.7
113,2025-04-20 07:28:00,68.5
114,2025-04-20 13:14:00,68.5
115,2025-04-21 15:23:00,68.5
116,2025-04-22 14:11:00,68.6
117,2025-04-23 15:13:00,68.9
118,2025-04-24 16:26:00,68.7
119,2025-04-24 22:21:00,68.8
120,2025-04-25 10:08:00,68.8
121,2025-04-26 11:50:00,69.0
122,2025-04-27 20:09:00,68.9
123,2025-04-28 22:17:00,68.9
124,2025-04-29 20:00:00,69.1
125,2025-04-30 15:40:00,69.2
126,2025-05-01 07:46:00,69.2
127,2025-05-01 13:57:00,69.3
128,2025-05-02 15:50:00,69.4
129,2025-05-03 10:30:00,69.5
130,2025-05-03 14:23:00,69.6
131,2025-05-04 07:55:00,69.6
132,2025-05-04 19:50:00,69.7
133,2025-05-05 20:43:00,69.4
134,2025-05-06 12:09:00,69.5
135,2025-05-07 21:54:00,69.7
136,2025-05-08 21:40:00,69.7
137,2025-05-08 22:28:00,69.9
138,2025-05-09 10:54:00,69.9
139,2025-05-10 13:23:00,69.8
140,2025-05-10 14:32:00,70.0
141,2025-05-11 10:26:00,69.9
142,2025-05-11 19:16:00,69.9
143,2025-05-12 12:05:00,70.1
144,2025-05-12 21:28:00,70.0
145,2025-05-13 12:18:00,70.2
146,2025-05-13 21:38:00,70.2
147,2025-05-14 10:25:00,70.2
148,2025-05-14 20:47:00,70.3
149,2025-05-15 15:17:00,70.3
150,2025-05-15 21:29:00,70.5
151,2025-05-16 10:14:00,70.5
152,2025-05-17 12:37:00,70.7
153,2025-05-17 21:49:00,70.8
154,2025-05-18 09:44:00,70.5
155,2025-05-18 15:54:00,70.5
156,2025-05-19 06:48:00,70.6
157,2025-05-19 16:33:00,70.9
158,2025-05-20 18:45:00,71.0
159,2025-05-20 22:37:00,71.1
160,2025-05-21 07:26:00,71.1
161,2025-05-21 21:12:00,70.9
162,2025-05-22 06:00:00,70.9
163,2025-05-23 17:37:00,71.1
164,2025-05-23 20:26:00,71.1
165,2025-05-24 16:41:00,71.2
166,2025-05-25 16:12:00,71.1
167,2025-05-26 20:07:00,71.4
168,2025-05-27 06:49:00,71.2
169,2025-05-27 21:22:00,71.3
170,2025-05-28 12:43:00,71.5
171,2025-05-28 17:40:00,71.7
172,2025-05-29 13:19:00,71.6
173,2025-05-30 09:49:00,71.5
174,2025-05-30 22:49:00,71.7
175,2025-05-31 22:40:00,71.7
176,2025-06-01 18:48:00,71.8
177,2025-06-01 21:15:00,71.9
178,2025-06-02 12:30:00,71.9
179,2025-06-02 13:34:00,72.0
180,2025-06-03 19:57:00,71.8
181,2025-06-03 22:43:00,72.1
182,2025-06-04 09:58:00,72.2
183,2025-06-04 11:06:00,72.2
184,2025-06-05 12:18:00,72.2
185,2025-06-06 12:04:00,72.1
186,2025-06-07 10:49:00,72.3
187,2025-06-08 18:57:00,72.5
188,2025-06-09 11:45:00,72.4
189,2025-06-09 17:44:00,72.3
190,2025-06-10 11:04:00,72.5
191,2025-06-10 19:48:00,72.3
192,2025-06-11 10:16:00,72.6
193,2025-06-11 12:29:00,72.8
194,2025-06-12 10:28:00,72.8
195,2025-06-12 14:38:00,72.7
196,2025-06-13 12:03:00,72.8
197,2025-06-13 20:08:00,73.0
198,2025-06-14 19:32:00,72.9
199,2025-06-14 20:57:00,73.0
200,2025-06-15 10:11:00,73.0
201,2025-06-16 17:50:00,72.9
202,2025-06-16 20:41:00,72.9
203,2025-06-17 13:15:00,73.2
204,2025-06-17 19:36:00,73.2
205,2025-06-18 14:03:00,73.4
206,2025-06-19 15:52:00,73.3
207,2025-06-20 22:40:00,73.2
208,2025-06-21 07:43:00,73.3
209,2025-06-21 12:34:00,73.3
210,2025-06-22 07:37:00,73.5
211,2025-06-23 17:57:00,73.7
212,2025-06-24 14:41:00,73.5
213,2025-06-25 22:12:00,73.5
214,2025-06-26 07:41:00,73.6
215,2025-06-26 18:12:00,73.8
216,2025-06-27 07:04:00,73.8
217,2025-06-28 16:57:00,73.9
218,2025-06-29 06:32:00,73.7
219,2025-06-29 06:43:00,74.0
220,2025-06-30 15:14:00,73.8
221,2025-07-01 17:12:00,74.0
